Description,Loss or Gain
RBAK-LOC389458_AMP,Gain
RBBP9_AMP,Gain
RBAK_AMP,Gain
RB1_AMP,Loss
RBBP4_AMP,Gain
RBBP5_AMP,Gain
RBBP6_AMP,Gain
RBBP7_AMP,Gain
RBBP8_AMP,Gain
RBL1_AMP,Loss
RBL2_AMP,Loss
RB1CC1_AMP,Gain
RBAK-LOC389458_DEL,Gain
RBBP9_DEL,Gain
RBAK_DEL,Gain
RB1_DEL,Loss
RBBP4_DEL,Gain
RBBP5_DEL,Gain
RBBP6_DEL,Gain
RBBP7_DEL,Gain
RBBP8_DEL,Gain
RBL1_DEL,Loss
RBL2_DEL,Loss
RB1CC1_DEL,Gain
E2F1_MUT,Gain
E2F7_AMP,Gain
E2F1_AMP,Gain
E2F2_AMP,Gain
E2F3_AMP,Gain
E2F4_AMP,Gain
E2F5_AMP,Gain
E2F6_AMP,Gain
E2F8_AMP,Gain
E2F7_DEL,Gain
E2F1_DEL,Gain
E2F2_DEL,Gain
E2F3_DEL,Gain
E2F4_DEL,Gain
E2F5_DEL,Gain
E2F6_DEL,Gain
E2F8_DEL,Gain
RPP14_AMP,Gain
RPP14_DEL,Gain
CDH1_MUT,Gain
PCDH1_AMP,Gain
CDH1_AMP,Gain
PCDH1_DEL,Gain
CDH1_DEL,Gain
CDC20B_AMP,Gain
CDC20_AMP,Gain
CDC20B_DEL,Gain
CDC20_DEL,Gain
TRIM39-RPP21_AMP,Gain
RPP21_AMP,Gain
TRIM39-RPP21_DEL,Gain
RPP21_DEL,Gain
MDM2_MUT,Gain
MDM2_AMP,Gain
MDM2_DEL,Gain
SMAD2_MUT,Gain
SMAD3_MUT,Gain
SMAD4_MUT,Gain
SMAD7_MUT,Gain
SMAD1_AMP,Gain
SMAD2_AMP,Gain
SMAD3_AMP,Gain
SMAD4_AMP,Gain
SMAD5_AMP,Gain
SMAD6_AMP,Gain
SMAD7_AMP,Gain
SMAD9_AMP,Gain
SMAD5-AS1_AMP,Loss
SMAD1_DEL,Gain
SMAD2_DEL,Gain
SMAD3_DEL,Gain
SMAD4_DEL,Gain
SMAD5_DEL,Gain
SMAD6_DEL,Gain
SMAD7_DEL,Gain
SMAD9_DEL,Gain
SMAD5-AS1_DEL,Loss
FADD_MUT,Gain
FADD_AMP,Gain
FADD_DEL,Gain
CASP8_MUT,Gain
CASP8_AMP,Gain
CASP8AP2_AMP,Gain
CASP8_DEL,Gain
CASP8AP2_DEL,Gain
BAK1_MUT,Gain
BAK1_AMP,Gain
BAK1_DEL,Gain
FOXO1_MUT,Gain
FOXO3_MUT,Gain
FOXO4_MUT,Gain
FOXO1_AMP,Gain
FOXO3_AMP,Gain
FOXO3B_AMP,Gain
FOXO4_AMP,Gain
FOXO1_DEL,Gain
FOXO3_DEL,Gain
FOXO3B_DEL,Gain
FOXO4_DEL,Gain
ROS1_MUT,Gain
ROS1_AMP,Gain
ROS1_DEL,Gain
APAF1_MUT,Gain
APAF1_AMP,Gain
APAF1_DEL,Gain
CASP9_MUT,Gain
CASP9_AMP,Gain
CASP9_DEL,Gain
VEGFA_MUT,Gain
VEGFC_MUT,Gain
VEGFA_AMP,Gain
VEGFB_AMP,Gain
VEGFC_AMP,Gain
VEGFA_DEL,Gain
VEGFB_DEL,Gain
VEGFC_DEL,Gain
TCF3_MUT,Gain
TCF12_MUT,Gain
TCF21_MUT,Gain
TCF24_AMP,Gain
TCFL5_AMP,Gain
TCF23_AMP,Gain
TCF25_AMP,Gain
TCF4_AMP,Gain
TCF3_AMP,Gain
TCF7_AMP,Gain
TCF7L2_AMP,Gain
TCF12_AMP,Gain
TCF15_AMP,Gain
TCF19_AMP,Gain
TCF20_AMP,Gain
TCF21_AMP,Gain
TCF7L1_AMP,Gain
TCF24_DEL,Gain
TCFL5_DEL,Gain
TCF23_DEL,Gain
TCF25_DEL,Gain
TCF4_DEL,Gain
TCF3_DEL,Gain
TCF7_DEL,Gain
TCF7L2_DEL,Gain
TCF12_DEL,Gain
TCF15_DEL,Gain
TCF19_DEL,Gain
TCF20_DEL,Gain
TCF21_DEL,Gain
TCF7L1_DEL,Gain
ZMIZ1_AMP,Gain
ZMIZ1_DEL,Gain
ATM_MUT,Gain
ATMIN_AMP,Gain
ATM_AMP,Gain
ATMIN_DEL,Gain
ATM_DEL,Gain
ATR_MUT,Gain
ATR_AMP,Gain
ATRIP_AMP,Gain
ATR_DEL,Gain
ATRIP_DEL,Gain
EEF2K_MUT,Gain
EEF2K_AMP,Gain
EEF2K_DEL,Gain
EEF2_AMP,Gain
EEF2_DEL,Gain
LDHA_MUT,Gain
LDHAL6A_AMP,Gain
LDHA_AMP,Gain
LDHAL6B_AMP,Gain
LDHAL6A_DEL,Gain
LDHA_DEL,Gain
LDHAL6B_DEL,Gain
